step,added,bic,improvement
0,(none),263945.29302058695,
1,VehAgeBand:VehBrand,263630.28158889705,315.011431689898
2,NewVehAge:YoungDrivAge,263498.61781449674,131.6637744003092
3,DrivAgeBand:BonusMalusCapped,263467.79967369273,30.81814080401091
