Band,Exposure,Claims,Actual,GLM,XGBoost,ClaimFrequency,ActualBurningCost,GLMBurningCost,XGBoostBurningCost,GLMAE,XGBoostAE
A,12388.012750205853,997,1834312.58,1496585.188977315,1585752.775654835,0.08048102791817298,148.07157669171104,120.8091418014117,128.00703451233406,1.2256653303200664,1.1567456214872602
B,8541.711585448013,780,799218.86,1095812.0940312683,1160052.6334934873,0.09131659295647934,93.56659400225827,128.28952172748794,135.81032582155987,0.7293393313992708,0.6889505156271747
C,20876.155954038477,2005,2889154.44,2974988.134779533,2924887.6342225624,0.0960425858292237,138.39494427809615,142.50651036183814,140.10661927713494,0.9711482228194185,0.9877830540207879
D,15550.326460812936,1666,2593336.6,2568640.3785164286,2605447.8062460492,0.10713601442377084,166.77055665263674,165.18240854874927,167.54939600861874,1.0096145111204065,0.9953515836252735
E,12635.497207874841,1541,2032219.55,2414248.047913917,2413133.9644467332,0.12195800249471782,160.83415765653103,191.06870178478462,190.98053086053406,0.8417608752986186,0.842149495196357
F,1625.7883584100607,226,191981.13999999998,392072.6228792119,351960.9074012627,0.13900948351052078,118.08495183699549,241.15846373917896,216.48630068028214,0.48965709105158495,0.545461544060422
