Band,Exposure,Claims,Actual,GLM,XGBoost,ClaimFrequency,ActualBurningCost,GLMBurningCost,XGBoostBurningCost,GLMAE,XGBoostAE
0,3303.0368844973427,1060,486450.81,1810641.1014747352,923594.5792863666,0.32091679174854604,147.2738049893222,548.1746540503071,279.61982005748007,0.26866219352018156,0.5266930111000281
1,6564.581577962423,569,1098532.96,936542.0625480523,1025241.3742323433,0.08667726849646548,167.34241885085586,142.66591882901776,156.17771857297376,1.1729670283160787,1.071487151815868
2-4,15849.732585522868,1432,2350653.63,2236867.5175117515,2473226.4322171686,0.09034852747660788,148.30872491483453,141.12966925100707,156.0421552144174,1.0508685076775677,0.9504401212034249
5-9,20242.310904259302,2000,3015900.1,2921878.8278215798,3241751.8607964846,0.09880294841134805,148.98991099703971,144.34512154473282,160.14732093233332,1.0321783611569266,0.9303303366529128
10-14,17083.100764278763,1567,2598891.92,2078411.2129117833,2429207.9988753144,0.09172807803584701,152.132329830563,121.66475170935003,142.19947727258366,1.2504223918033242,1.0698515405857574
15-19,7140.127398757392,498,712070.54,810357.7316993374,814884.346063195,0.06974665467266981,99.72798806417975,113.49345557060582,114.1274238615141,0.8787113544369757,0.8738301863817842
20+,1434.6022015120893,89,77723.20999999999,147648.01313043406,133329.12999405686,0.06203810359846991,54.1775343144453,102.91913185049566,92.93804920522652,0.5264087768748934,0.5829424522867921
