,Policies,Share
< -25%,24850,0.1832555326947044
-25% to -10%,30445,0.2245156818064497
-10% to -5%,11425,0.0842532982308651
-5% to +5%,21123,0.155770890024557
+5% to +10%,8980,0.06622272368605414
+10% to +25%,17183,0.12671548564559781
> +25%,21597,0.15926638791177186
