Band,Exposure,Claims,Actual,GLM,XGBoost,ClaimFrequency,ActualBurningCost,GLMBurningCost,XGBoostBurningCost,GLMAE,XGBoostAE
1-49,12293.66453102777,988,1834000.35,1483488.316081498,1574281.0319645775,0.08036659838133728,149.18256028307897,120.67096123676933,128.05628687778784,1.2362755608647786,1.164976464025177
50-299,23335.37108990194,2186,2685201.61,3146619.252371636,3186179.878765098,0.09367753319963107,115.07001965621126,134.84333462060488,136.5386419821656,0.853360827807857,0.8427652273796709
"300-1,499",19417.209483494273,1968,2997080.94,3101299.385895524,3130581.988743716,0.101353389717143,154.35178481993967,159.71910837815312,161.22718310295247,0.9663952321502717,0.9573558369581979
"1,500-4,999",12186.832996481773,1513,2247125.59,2228451.3484379533,2237307.7491448075,0.12415038430712796,184.38962695629985,182.8572976327227,183.58401643730554,1.0083799188953066,1.0043882388817298
"5,000-14,999",3024.782288344936,378,428394.27999999997,643367.0755696675,613168.0638734868,0.12496767170864038,141.62813689126816,212.69863885697947,202.71477594805432,0.6658629206673026,0.6986571957022036
"15,000+",1359.6319275394865,182,148420.4,339121.08874139463,299717.0089732442,0.13385975741932138,109.162190879553,249.42124546538045,220.43981382199473,0.43766195889156784,0.495201792212098
