Band,Exposure,Claims,Actual,GLM,XGBoost,ClaimFrequency,ActualBurningCost,GLMBurningCost,XGBoostBurningCost,GLMAE,XGBoostAE
Diesel,33954.657618085184,3297,5637839.39,5067968.299571309,5128801.967646212,0.09710008085146843,166.0402367596583,149.2569401398402,151.04855496803688,1.1124456698904164,1.0992507461908112
Regular,37662.834698704995,3918,4702383.78,5874378.167526364,5912433.753818718,0.10402828229322625,124.85474918757743,155.97281018596163,156.98323828030956,0.8004904767614105,0.7953380918581673
