Band,Exposure,Claims,Actual,GLM,XGBoost,ClaimFrequency,ActualBurningCost,GLMBurningCost,XGBoostBurningCost,GLMAE,XGBoostAE
18-20,495.30306085784866,113,231691.26,216797.3686832026,228110.39078707903,0.22814314897284846,467.77675792820327,437.7064989417119,460.5471050229314,1.068699594498129,1.0156979662371601
21-25,2750.7228782094467,468,600240.92,643140.8750815521,788449.2654279239,0.1701370951277504,218.212065182924,233.80794923994586,286.6334779391359,0.933296177021695,0.7612930169631454
26-30,5826.535308780597,626,855444.46,933210.2229019579,976617.2392063407,0.1074394930820409,146.81872067450513,160.1655483826913,167.61543309187147,0.9166685479932554,0.8759260288044749
31-40,16876.900449883975,1507,2596280.59,2186540.2625988764,2244035.7666118317,0.0892936475198774,153.83633965903073,129.55816555841025,132.9649228704942,1.1873920798120199,1.1569693445305493
41-50,17603.508183995807,1826,2123054.64,2737048.392525674,2682422.723216863,0.10372932377536564,120.60406470172637,155.48312097324188,152.38000830173056,0.7756730373484201,0.791469078167498
51-60,15150.750847368816,1439,1980706.53,2238160.191830827,2213568.18966343,0.09497879111713507,130.7332256964666,147.72602456329886,146.10287054174967,0.8849708511613602,0.8948025813025274
61-70,7541.0309506699605,684,1006741.34,1113776.0717454164,1076860.149294175,0.09070377836590526,133.50181779993343,147.69546485503633,142.80012326411477,0.9038992357075147,0.9348858722832912
71-80,4447.596876263194,450,656951.83,732403.245394965,680193.1944997285,0.10117823456564784,147.70939189793688,164.6739274649189,152.93499240677966,0.8969810471630608,0.9658312304685404
81+,925.143760760536,102,289111.6,141269.83633520236,150978.8027575574,0.11025313505454387,312.5045125552477,152.70041514312132,163.19496402747367,2.046520386092906,1.91491517166325
