ExposureShare,GLM,XGBoost
0.385,0.24305948321229587,0.25508252352352356
0.39,0.24863659591594753,0.25687006618059377
0.395,0.2509729884292244,0.25973887757008735
0.4,0.2537580424388469,0.26292194233173505
0.405,0.2558585754392387,0.2653031327175901
0.41000000000000003,0.27273122191230315,0.26801037119201854
0.41500000000000004,0.27451059840133113,0.27161405743624883
0.42,0.27550619613406324,0.2751783818607864
0.425,0.27794018588865815,0.2784563033758982
0.43,0.2805558944236994,0.281115848488985
0.435,0.2831755187349607,0.28710332080772805
0.44,0.2857990085333923,0.2935735515658134
0.445,0.28715816488514057,0.29570291082992295
0.45,0.3109836689177733,0.298856740245773
0.455,0.3126421071238844,0.3001054618437229
0.46,0.31538126657279986,0.3050749580678551
0.465,0.3193819858338718,0.3078635864684161
0.47000000000000003,0.3238630380547205,0.31065791800336895
0.47500000000000003,0.3271044265092019,0.31257522945706556
0.48,0.3310307034698181,0.3177586514315064
0.485,0.3338342106594991,0.32058690180088406
0.49,0.33830999993784594,0.3235460565016041
0.495,0.33996680750556885,0.34638016328229954
0.5,0.342648887915638,0.3482584496288021
0.505,0.3469247579111983,0.3509546390186874
0.51,0.34965646877813117,0.35574130746735305
0.515,0.35206414215139364,0.3590103742412766
0.52,0.3568111857299513,0.3618839234395383
0.525,0.3591339518448726,0.36429504354691994
0.53,0.3660214830740464,0.3705583948242794
0.535,0.36911839882465686,0.37393964099519733
0.54,0.3724498056457342,0.3770047015339246
0.545,0.3785018278285398,0.381567748116603
0.55,0.38255008764960907,0.3842754150150536
0.555,0.38507936574835244,0.3856424164586018
0.56,0.38902294117507125,0.3884591690103748
0.5650000000000001,0.39245450250761066,0.3912444812349272
0.5700000000000001,0.394183477763374,0.39452358937819965
0.5750000000000001,0.39608352186077816,0.3987700596214527
0.58,0.39974336453320664,0.40157258714175564
0.585,0.4108875079530822,0.40387668731525317
0.59,0.41391407705952066,0.4063107305255603
0.595,0.41653738504369425,0.4086948676563259
0.6,0.4193769601202929,0.4129355314484983
0.605,0.4227241683411382,0.4190630955211798
0.61,0.42639674768257624,0.4232626528504633
0.615,0.4311216650462312,0.4304222439717447
0.62,0.43398492046279685,0.43678229625676707
