Band,Exposure,Claims,Actual,GLM,XGBoost,ClaimFrequency,ActualBurningCost,GLMBurningCost,XGBoostBurningCost,GLMAE,XGBoostAE
50,44840.9986189086,3578,4448722.99,5417843.589410779,4702960.038224393,0.07979304899983261,99.21105967796306,120.82343739611048,104.88080513535316,0.8211242935648911,0.9459410570878719
51-59,8030.19236245228,741,1178099.31,955089.7942954582,1041928.3762937757,0.09227674338970775,146.70872836229657,118.93734934187687,129.7513595272815,1.2334958629403525,1.1306912613231588
60-69,6850.380559173591,842,1139942.18,1036514.6968709615,1382312.1428539166,0.12291287947097297,166.4056719408767,151.30760808360162,201.78618266729907,1.0997839041175839,0.824663362680501
70-79,3929.8919267909273,562,1173001.28,765780.7513809288,787600.0706207794,0.14300647714221448,298.48181625642053,194.86051159840682,200.41265390825092,1.531771695599207,1.4893361793066509
80-89,3057.740890785238,403,708992.66,743918.1167785202,653496.9042133541,0.1317966480464302,231.8681292246212,243.29010970824262,213.7188622432733,0.9530520147435552,1.0849212221647
90-99,2910.777782768171,455,674569.73,913650.3682386766,708268.4063127161,0.15631560838948402,231.7489620792966,313.88530366264797,243.3261688699395,0.7383237105244392,0.9524210369792531
100,1251.85881128827,348,476748.05,580566.6006442817,675433.1966319487,0.2779866202658095,380.83212395923897,463.76364124228104,539.5442285834694,0.821177190473807,0.7058404182342631
101-124,549.3385328243132,189,390482.82,328980.58150033775,739583.2807502763,0.3440501415917333,710.8236482017953,598.8667494503808,1346.316044767255,1.1869479293251206,0.5279768082424355
125+,196.31283179878733,97,149664.15,200001.96797772957,349653.3055637703,0.49410932087934556,762.3757888297372,1018.7921296083358,1781.1026531477612,0.7483133866796013,0.4280358504224237
