Detail,Value,Reference,FrequencyEffect,SeverityEffect,LogEffect,Factor,PremiumImpact
DrivAge,20,44,-0.08771130378909096,-0.012647622627811234,-0.1003589264169022,0.9045127062609278,-30.09274282139126
BonusMalus,50,50,0.0,0.0,0.0,1.0,0.0
VehAge,0,6,1.5659122724767174,0.020365661933808767,1.5862779344105262,4.885530778787333,475.64731536849354
VehPower,12,6,0.00514594148226773,0.02092933158880298,0.02607527307107071,1.0264182072163144,7.818701480181704
VehBrand,B12,B12,0.0,0.0,0.0,1.0,0.0
VehGas,Regular,Regular,0.0,0.0,0.0,1.0,0.0
Density,393,393,0.0,0.0,0.0,1.0,0.0
Area,C,C,0.0,0.0,0.0,1.0,0.0
Region,R24,R24,0.0,0.0,0.0,1.0,0.0
